8/7/2021 11:36:35 AM /MATA 
8/7/2021 11:36:38 AM /SUM neosefirot Map:1 X:397 Y:355
8/7/2021 11:36:45 AM /TELEPLOC a x:399 Y:355 Map:1
8/7/2021 11:36:53 AM /TELEPLOC a x:399 Y:355 Map:1
8/7/2021 11:36:54 AM /TELEPLOC a x:399 Y:355 Map:1
8/7/2021 11:36:57 AM /TELEPLOC a x:399 Y:355 Map:1
8/7/2021 11:36:58 AM /TELEPLOC a x:399 Y:355 Map:1
8/7/2021 11:36:59 AM /TELEPLOC a x:399 Y:355 Map:1
8/7/2021 11:37:00 AM /TELEPLOC a x:399 Y:355 Map:1
8/7/2021 11:37:00 AM /TELEPLOC a x:399 Y:355 Map:1
8/7/2021 11:37:01 AM /TELEPLOC a x:399 Y:355 Map:1
8/7/2021 11:37:03 AM /TELEPLOC a x:399 Y:355 Map:1
8/7/2021 11:37:14 AM /TELEPLOC a x:290 Y:293 Map:1
8/7/2021 11:37:14 AM /TELEPLOC a x:290 Y:293 Map:1
8/7/2021 11:37:15 AM /TELEPLOC a x:290 Y:293 Map:1
8/7/2021 11:37:15 AM /TELEPLOC a x:290 Y:293 Map:1
8/7/2021 11:37:16 AM /TELEPLOC a x:290 Y:293 Map:1
8/7/2021 11:37:17 AM /TELEPLOC a x:290 Y:293 Map:1
8/7/2021 11:37:17 AM /TELEPLOC a x:290 Y:293 Map:1
8/7/2021 11:37:18 AM /TELEPLOC a x:290 Y:293 Map:1
8/7/2021 11:37:19 AM /TELEPLOC a x:290 Y:293 Map:1
8/7/2021 11:37:20 AM /TELEPLOC a x:290 Y:293 Map:1
8/7/2021 11:37:44 AM /SUM neosefirot Map:1 X:307 Y:245
8/7/2021 11:39:48 AM /TELEPLOC a x:47 Y:41 Map:3
8/7/2021 11:39:49 AM /TELEPLOC a x:47 Y:41 Map:3
8/7/2021 11:39:50 AM /TELEPLOC a x:47 Y:41 Map:3
8/7/2021 11:39:53 AM /TELEPLOC a x:47 Y:41 Map:1
8/7/2021 11:41:27 AM /TELEPLOC a x:308 Y:244 Map:1
8/7/2021 11:41:32 AM /TELEPLOC a x:308 Y:244 Map:3
8/7/2021 11:41:32 AM /TELEPLOC a x:308 Y:244 Map:3
8/7/2021 11:41:34 AM /TELEPLOC a x:308 Y:244 Map:3
8/7/2021 11:43:48 AM /TELEPLOC a x:33 Y:44 Map:3
8/7/2021 11:43:48 AM /TELEPLOC a x:33 Y:44 Map:3
8/7/2021 11:43:49 AM /TELEPLOC a x:33 Y:44 Map:3
8/7/2021 11:43:49 AM /TELEPLOC a x:33 Y:44 Map:3
8/7/2021 11:43:56 AM /TELEPLOC a x:33 Y:44 Map:3
8/7/2021 11:43:58 AM /TELEPLOC a x:33 Y:44 Map:3
8/7/2021 11:43:59 AM /TELEPLOC a x:33 Y:44 Map:3
8/7/2021 11:44:02 AM /TELEPLOC a x:33 Y:44 Map:3
8/7/2021 11:44:03 AM /TELEPLOC a x:33 Y:44 Map:3
8/7/2021 11:44:06 AM /TELEPLOC a x:33 Y:44 Map:3
8/7/2021 11:45:01 AM /TELEPLOC a x:17 Y:40 Map:3
8/7/2021 11:45:02 AM /TELEPLOC a x:17 Y:40 Map:3
8/7/2021 11:45:07 AM /TELEPLOC a x:21 Y:24 Map:3
8/7/2021 11:45:08 AM /TELEPLOC a x:21 Y:24 Map:3
8/7/2021 11:45:09 AM /TELEPLOC a x:21 Y:24 Map:3
8/7/2021 11:45:10 AM /TELEPLOC a x:21 Y:24 Map:3
8/7/2021 11:45:12 AM /TELEPLOC a x:21 Y:24 Map:3
8/7/2021 11:46:19 AM /TELEPLOC a x:47 Y:41 Map:3
8/7/2021 11:46:20 AM /TELEPLOC a x:47 Y:41 Map:3
8/7/2021 11:46:21 AM /TELEPLOC a x:47 Y:41 Map:3
8/7/2021 11:46:25 AM /TELEPLOC a x:30 Y:34 Map:3
8/7/2021 11:46:31 AM /TELEPLOC a x:20 Y:34 Map:3
8/7/2021 11:46:43 AM /TELEPLOC a x:16 Y:31 Map:3
8/7/2021 11:46:44 AM /TELEPLOC a x:16 Y:31 Map:3
8/7/2021 11:46:45 AM /TELEPLOC a x:16 Y:31 Map:3
8/7/2021 11:46:46 AM /TELEPLOC a x:16 Y:31 Map:3
8/7/2021 11:46:47 AM /TELEPLOC a x:16 Y:31 Map:3
8/7/2021 11:46:50 AM /TELEPLOC a x:16 Y:31 Map:1
8/7/2021 11:46:56 AM /TELEPLOC a x:308 Y:244 Map:1
8/7/2021 11:46:56 AM /TELEPLOC a x:308 Y:244 Map:1
8/7/2021 11:46:57 AM /TELEPLOC a x:308 Y:244 Map:1
8/7/2021 11:46:58 AM /TELEPLOC a x:308 Y:244 Map:1
8/7/2021 11:46:58 AM /TELEPLOC a x:308 Y:244 Map:1
8/7/2021 11:47:00 AM /TELEPLOC a x:308 Y:244 Map:1
8/7/2021 11:47:01 AM /TELEPLOC a x:308 Y:244 Map:1
8/7/2021 11:58:20 AM Se conecto con ip:77.226.173.227
8/7/2021 11:58:51 AM Se conecto con ip:77.226.173.227
8/7/2021 12:01:49 PM Se conecto con ip:77.226.173.227
8/7/2021 12:02:02 PM /IRA neosefirot Mapa:3 X:55 Y:26
8/7/2021 12:04:49 PM el yind ha hecho un backup
8/7/2021 12:05:30 PM /TELEPLOC a x:293 Y:259 Map:1
8/7/2021 12:05:58 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:05:58 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:05:59 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:00 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:00 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:01 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:02 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:02 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:03 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:04 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:05 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:05 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:06 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:06 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:07 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:08 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:08 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:09 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:09 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:10 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:11 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:11 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:12 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:12 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:13 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:13 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:14 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:14 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:15 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:15 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:16 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:17 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:17 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:18 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:19 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:20 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:20 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:21 PM /TELEPLOC a x:233 Y:33 Map:13
8/7/2021 12:06:21 PM /TELEPLOC a x:233 Y:33 Map:13
