7/18/2021 12:02:10 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:02:11 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:02:12 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:02:13 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:02:19 PM /TELEPLOC a x:134 Y:542 Map:1
7/18/2021 12:03:36 PM /TELEPLOC a x:123 Y:544 Map:1
7/18/2021 12:03:39 PM /TELEPLOC a x:123 Y:544 Map:1
7/18/2021 12:03:41 PM /TELEPLOC a x:123 Y:544 Map:1
7/18/2021 12:03:42 PM /TELEPLOC a x:123 Y:544 Map:1
7/18/2021 12:04:01 PM /TELEPLOC a x:123 Y:544 Map:1
7/18/2021 12:04:12 PM /TELEPLOC a x:123 Y:544 Map:1
7/18/2021 12:04:15 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:04:15 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:04:18 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:04:21 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:04:24 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:04:26 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:04:28 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:04:28 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:04:29 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:05:57 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:05:58 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:05:58 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:05:59 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:00 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:00 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:01 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:01 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:02 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:02 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:03 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:03 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:04 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:04 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:05 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:05 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:06 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:06 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:07 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:07 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:08 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:08 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:09 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:09 PM /TELEPLOC a x:139 Y:538 Map:1
7/18/2021 12:06:21 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:22 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:23 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:25 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:36 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:37 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:37 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:38 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:38 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:39 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:40 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:40 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:41 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:41 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:42 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:42 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:43 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:06:43 PM /TELEPLOC a x:289 Y:216 Map:1
7/18/2021 12:07:04 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:04 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:05 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:05 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:06 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:06 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:07 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:07 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:08 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:08 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:08 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:09 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:09 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:10 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:10 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:11 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:11 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:12 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:12 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:13 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:13 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:14 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:14 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:15 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:15 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:16 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:16 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:17 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:17 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:18 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:18 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:19 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:19 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:20 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:20 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:21 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:21 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:22 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:22 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:23 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:23 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:23 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:24 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:25 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:25 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:26 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:26 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:27 PM /TELEPLOC a x:289 Y:216 Map:26
7/18/2021 12:07:48 PM /TELEPLOC a x:289 Y:216 Map:8
7/18/2021 12:07:49 PM /TELEPLOC a x:289 Y:216 Map:8
7/18/2021 12:07:50 PM /TELEPLOC a x:289 Y:216 Map:8
